group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,APOA1,-5.066579,-0.7094455,4.0502857559949137e-07,5.107548242112123e-07,0.044439719328088455,0.0939398170774279
1,IL1R2,-5.084434,-0.70401067,3.687234635143012e-07,4.655599286796732e-07,0.04422708909206889,0.09404454374083641
1,CCL21,-5.0906396,-0.5703697,3.5685779331210795e-07,4.511476527333855e-07,0.05634701254518393,0.1072401033303079
1,NCAM1,-5.0929546,-0.89650804,3.525263095828622e-07,4.462358349150154e-07,0.03529661917924729,0.08395587516581722
1,IL12RB1,-5.093312,-0.6480252,3.518626972899332e-07,4.459603260962398e-07,0.05166914735275356,0.1021084968232912
1,G0S2,-5.104864,-0.3244782,3.310320913345269e-07,4.2009148646513564e-07,0.08696576653200085,0.1438595266354814
1,ANGPT1,-5.1088843,-1.2998602,3.240663131358236e-07,4.117742225359893e-07,0.02232617478205401,0.07006213782028904
1,KRT13,-5.1090326,-1.0151006,3.238127695978459e-07,4.117742225359893e-07,0.03125664469487561,0.0796969908538714
1,CXCR3,-5.1097064,-0.77124643,3.2265953910982764e-07,4.1103126001251927e-07,0.04188815649585371,0.09139146826782099
1,CDH19,-5.122913,-0.7616242,3.0085104513014415e-07,3.837385779721226e-07,0.04358919838401021,0.09331145709697689
1,SCG5,-5.1262937,-0.8172251,2.9550172127622233e-07,3.773968343246773e-07,0.03954922389963853,0.08894784612162257
1,CNTFR,-5.1302967,-0.5737992,2.892858284663815e-07,3.6993072693910677e-07,0.05464597065702743,0.10605320114501152
1,MKI67,-5.132652,-0.8934142,2.856883127930778e-07,3.657980957657847e-07,0.03529661917924729,0.08437478181945124
1,FGF12,-5.148406,-0.87464213,2.6270933882295057e-07,3.368068446448084e-07,0.03742292153944291,0.08681840396564966
1,NRXN3,-5.148567,-0.69893646,2.6248402055309253e-07,3.368068446448084e-07,0.04784180310440145,0.09851288137959925
1,FFAR2,-5.1588173,-0.49834862,2.485148852327597e-07,3.194278730498197e-07,0.06570274293004465,0.11900439851986316
1,TCAP,-5.1601844,-0.70187557,2.4670698921284773e-07,3.1751221262914766e-07,0.04847969381246013,0.09928087691126161
1,TNFAIP6,-5.1663094,-0.5484779,2.387613940553753e-07,3.076822088342465e-07,0.059323835849457794,0.11170844096907072
1,CD52,-5.170712,-0.8414787,2.3320355145413882e-07,3.00907808327921e-07,0.03976185413565809,0.08971584165328493
1,CLEC1A,-5.1730156,-0.81166154,2.3034570975680037e-07,2.976042761715767e-07,0.03933659366361897,0.08929693499965091
1,GZMH,-5.1861534,-0.75339305,2.1468184825158527e-07,2.7772554754409477e-07,0.044439719328088455,0.09498708371151295
1,MYL4,-5.1957326,-0.67860824,2.039149832099773e-07,2.6413857928753535e-07,0.047629172868381885,0.09868742581861342
1,CD3G,-5.2053924,-0.7939,1.9358737414417502e-07,2.51086088384144e-07,0.042313416967892835,0.09285764155554004
1,TNFSF9,-5.208198,-0.77194864,1.90683216575499e-07,2.4764054100714156e-07,0.04316393791197108,0.0937303637506109
1,CD1C,-5.2100034,-0.47748858,1.888373564731614e-07,2.4556223208473525e-07,0.07420795237082713,0.12881379599245968
1,CD70,-5.2115445,-0.5855273,1.872750769329694e-07,2.4384775642313723e-07,0.05570912183712524,0.10797318997416742
1,RAMP3,-5.21415,-0.9206421,1.8466183009073624e-07,2.4075857899704854e-07,0.0363597703593451,0.08619004398519862
1,CAMP,-5.2200627,-0.7462229,1.7886232137642367e-07,2.3350172503449566e-07,0.04146289602381459,0.09219437268728618
1,TSHZ2,-5.2205596,-0.86078256,1.7838312202750767e-07,2.3318055166994466e-07,0.03721029130342335,0.08741185505829785
1,TLR3,-5.234077,-0.6055924,1.6581150485619033e-07,2.1703076551857371e-07,0.0531575590048905,0.10535502338895483
1,ITGAM,-5.2426453,-0.7349311,1.5829068122717946e-07,2.0745829780757465e-07,0.046566021688284075,0.09784961251134539
1,CCL15,-5.2520194,-0.5871087,1.504405915309909e-07,1.9742859780969932e-07,0.0559217520731448,0.10877609439363262
1,TNFRSF10D,-5.256572,-0.7920795,1.467655899405833e-07,1.9285885668933418e-07,0.041250265787795025,0.09222928157508901
1,CEACAM1,-5.256856,-0.62924564,1.4653893037932054e-07,1.9281438207805335e-07,0.051881777588773124,0.10416812120365845
1,TOX,-5.267091,-0.7055422,1.3860278021691625e-07,1.8261235865206356e-07,0.046566021688284075,0.09823361027717657
1,EPHB6,-5.2702317,-0.5889337,1.362516501317815e-07,1.7975151732424998e-07,0.059749096321496914,0.11296516092997277
1,IL1A,-5.2748013,-0.7161958,1.329001348868997e-07,1.755616048704091e-07,0.046991282160323194,0.09868742581861342
1,FCGBP,-5.2757654,-1.0287545,1.3220317275065155e-07,1.7487192162784598e-07,0.030618753986816925,0.08063953082454793
1,IL34,-5.2831016,-0.7468126,1.2701492761644853e-07,1.682316922072166e-07,0.04635339145226451,0.09802415695035956
