min_counts,min_genes,max_control_fraction,n_cells,retained_fraction,min_fov_retention,median_fov_retention,fov_retention_iqr
100,10,0.1,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,10,0.2,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,15,,31152,0.7150694364742339,0.0008598452278589854,0.8753270700244373,0.2743780061085299
100,15,0.05,31152,0.7150694364742339,0.0008598452278589854,0.8753270700244373,0.2743780061085299
100,15,0.1,31152,0.7150694364742339,0.0008598452278589854,0.8753270700244373,0.2743780061085299
100,15,0.2,31152,0.7150694364742339,0.0008598452278589854,0.8753270700244373,0.2743780061085299
100,20,,31139,0.7147710317915759,0.0008598452278589854,0.8753270700244373,0.2741473788022569
100,20,0.05,31139,0.7147710317915759,0.0008598452278589854,0.8753270700244373,0.2741473788022569
100,20,0.1,31139,0.7147710317915759,0.0008598452278589854,0.8753270700244373,0.2741473788022569
100,20,0.2,31139,0.7147710317915759,0.0008598452278589854,0.8753270700244373,0.2741473788022569
100,30,,31079,0.7133937794100769,0.0008598452278589854,0.8696394635443808,0.27160003357346885
100,30,0.05,31079,0.7133937794100769,0.0008598452278589854,0.8696394635443808,0.27160003357346885
100,30,0.1,31079,0.7133937794100769,0.0008598452278589854,0.8696394635443808,0.27160003357346885
100,30,0.2,31079,0.7133937794100769,0.0008598452278589854,0.8696394635443808,0.27160003357346885
